CNT;TEMP;PRES;resitance
12322;11,60;1245,64;3696
12323;11,60;1245,64;3653
12324;11,60;1246,18;3632
12325;11,60;1246,18;3682
12326;11,60;1246,05;3632
12327;11,60;1246,59;3632
12328;11,60;1246,18;3690
12329;11,59;1245,72;3634
12330;11,59;1246,54;3689
12331;11,60;1246,72;3642
12332;11,60;1246,32;3696
12333;11,60;1245,78;3662
12334;11,59;1245,86;3678
12335;11,59;1246,26;3669
12336;11,60;1246,18;3659
12337;11,60;1246,32;3687
12338;11,60;1246,18;3660
12339;11,60;1246,45;3671
12340;11,59;1246,26;3671
12341;11,60;1246,59;3667
12342;11,59;1246,26;3670
12343;11,59;1246,26;3696
12344;11,59;1245,86;3680
12345;11,60;1246,32;3646
12346;11,60;1246,86;3661
12347;11,60;1246,45;3682
12348;11,59;1246,40;3649
12349;11,59;1246,67;3673
12350;11,60;1246,72;3658
12351;11,60;1246,59;3675
12352;11,59;1246,13;3707
12353;11,60;1246,32;3664
12354;11,59;1246,81;3651
12355;11,60;1246,59;3719
12356;11,59;1246,40;3670
12357;11,59;1246,54;3632
12358;11,60;1247,27;3661
12359;11,60;1247,13;3632
12360;11,59;1246,54;3692
12361;11,60;1245,91;3724
12362;11,60;1246,59;3570
12363;11,59;1247,62;3653
12364;11,59;1246,67;3699
12365;11,60;1246,18;3671
12366;11,60;1246,86;3626
12367;11,59;1247,35;3647
12368;11,59;1246,81;3703
12369;11,60;1246,45;3668
12370;11,59;1246,81;3637
12371;11,60;1246,86;3696
12372;11,59;1246,40;3693
12373;11,60;1246,72;3633
12374;11,59;1247,21;3667
12375;11,60;1247,00;3665
12376;11,60;1247,27;3638
12377;11,60;1246,86;3715
12378;11,59;1246,40;3695
12379;11,59;1246,81;3648
12380;11,59;1247,35;3667
12381;11,59;1246,67;3694
12382;11,59;1246,67;3657
12383;11,59;1247,48;3600
12384;11,59;1247,89;3677
12385;11,59;1246,81;3675
12386;11,60;1246,86;3679
12387;11,59;1247,21;3630
12388;11,59;1247,62;3686
12389;11,59;1246,81;3682
12390;11,60;1247,00;3664
12391;11,60;1247,81;3597
12392;11,59;1248,16;3675
12393;11,60;1247,13;3668
12394;11,59;1246,94;3687
12395;11,59;1247,08;3676
12396;11,60;1247,40;3658
12397;11,59;1247,62;3651
12398;11,60;1247,27;3730
12399;11,60;1246,86;3685
12400;11,60;1247,54;3621
12401;11,60;1247,94;3659
12402;11,59;1247,48;3713
12403;11,59;1247,35;3570
12404;11,59;1247,21;3735
12405;11,59;1247,08;3637
12406;11,60;1247,67;3679
12407;11,60;1247,54;3654
12408;11,60;1247,54;3671
12409;11,60;1247,27;3686
12410;11,60;1247,67;3631
12411;11,59;1248,30;3633
12412;11,59;1248,03;3670
12413;11,60;1247,27;3697
12414;11,59;1246,81;3698
12415;11,59;1247,21;3674
12416;11,59;1248,16;3613
12417;11,60;1248,49;3697
12418;11,59;1247,62;3663
12419;11,60;1247,40;3695
12420;11,60;1247,67;3659
12421;11,59;1248,16;3642
12422;11,59;1248,03;3686
12423;11,59;1247,35;3678
12424;11,60;1247,40;3664
12425;11,59;1248,03;3633
12426;11,60;1248,35;3655
12427;11,60;1247,81;3669
12428;11,59;1247,76;3662
12429;11,60;1248,08;3651
12430;11,59;1247,89;3683
12431;11,60;1247,81;3648
12432;11,59;1247,89;3685
12433;11,59;1247,62;3707
12434;11,60;1247,94;3631
12435;11,60;1248,08;3711
12436;11,60;1247,67;3665
12437;11,59;1248,16;3634
12438;11,60;1248,35;3691
12439;11,60;1248,08;3648
12440;11,59;1248,30;3666
12441;11,60;1247,54;3709
12442;11,60;1247,54;3679
12443;11,59;1248,30;3602
12444;11,60;1248,89;3680
12445;11,60;1247,67;3699
12446;11,59;1247,62;3653
12447;11,60;1248,35;3634
12448;11,59;1248,43;3676
12449;11,59;1248,30;3673
12450;11,60;1248,35;3648
12451;11,60;1248,08;3696
12452;11,60;1247,81;3681
12453;11,60;1248,62;3600
12454;11,60;1248,62;3715
